COMPANY_CODE,STATE_CODE,PROGRAM_CODE,LINE_OF_BUSINESS,CITY,COUNTY_CODE,ZIP_CODE,LastOfADDRESS_LINE,LastOfCITY,LastOfSTATE_CODE,LastOfZIP_CODE,LastOfCOUNTY_CODE,PREMIUM_GROUP,TERRITORY_1_CODE
60,AL,R,25,Abbeville,067,36310,4329 COUNTY ROAD 97,ABBEVILLE,AL,36310,067,,1
60,AL,R,25,Acmar,115,35004,951 KERR RD # 404,ACMAR,AL,35004,115,,1
60,AL,R,25,Adamsville,073,35005,229 LAKEWOOD CIR,ADAMSVILLE,AL,35005,073,,1
60,AL,R,25,Adamsville,073,35214,,,,,,,1
60,AL,R,25,Addison,043,35540,,,,,,,1
60,AL,R,25,Addison,133,35540,48 WESTRIDGE DR,ADDISON,AL,35540,133,,1
60,AL,R,25,Adger,073,35006,1899 CARGILE DR,ADGER,AL,35006,073,,1
60,AL,R,25,Adger,125,35006,110 ETHRIDGE LN,ADGER,AL,35006,125,,1
60,AL,R,25,Adger,127,35006,,,,,,,1
60,AL,R,25,Akron,065,35441,6050 COUNTY ROAD 21,AKRON,AL,35441,065,,1
60,AL,R,25,Alabaster,117,35007,540 BUCK CREEK LN,ALABASTER,AL,35007,117,,1
60,AL,R,25,Alberta,131,36720,,,,,,,1
60,AL,R,25,Albertville,049,35951,1118 COUNTY ROAD 479,ALBERTVILLE,AL,35951,049,,1
60,AL,R,25,Albertville,095,35950,407 ROBIN RD,ALBERTVILLE,AL,35950,095,,1
60,AL,R,25,Albertville,095,35951,252 CINNAMON LN,ALBERTVILLE,AL,35951,095,,1
60,AL,R,25,Alexander City,037,35010,495 HOLLOWAY MILL RD,ALEXANDER CITY,AL,35010,037,,1
60,AL,R,25,Alexander City,051,35010,575 RUSSELL CABIN POINT,ALEXANDER CITY,AL,35010,051,,1
60,AL,R,25,Alexander City,123,35010,176 BOOKER ST,ALEXANDER CITY,AL,35010,123,,1
60,AL,R,25,Alexandria,015,36250,203 CANYON TRL,ALEXANDRIA,AL,36250,015,,1
60,AL,R,25,Aliceville,063,35442,,,,,,,1
60,AL,R,25,Aliceville,107,35442,515 LOVE CIR,ALICEVILLE,AL,35442,107,,1
60,AL,R,25,Aliceville,119,35442,191 JACKSON LN,ALICEVILLE,AL,35442,119,,1
60,AL,R,25,Allen,025,36451,,,,,,,1
60,AL,R,25,Alma,025,36501,,,,,,,1
60,AL,R,25,Alpine,121,35014,165 DATES LN,ALPINE,AL,35014,121,,1
60,AL,R,25,Altoona,009,35952,41305 STATE HIGHWAY 75,ALTOONA,AL,35952,009,,1
60,AL,R,25,Altoona,055,35952,2610 WARRIOR VALLEY RD,ALTOONA,AL,35952,055,,1
60,AL,R,25,Andalusia,035,36421,576 BUCKET BRANCH RD,ANDALUSIA,AL,36421,035,,1
60,AL,R,25,Andalusia,039,36420,19405 CANTALINE BRIDGE RD,ANDALUSIA,AL,36420,039,,1
60,AL,R,25,Andalusia,039,36421,16437 BERNARD STEWART RD,ANDALUSIA,AL,36421,039,,1
60,AL,R,25,Andalusia,053,36420,6845 BRADLEY RD,ANDALUSIA,AL,36420,053,,1
60,AL,R,25,Anderson,077,35610,,,,,,,1
60,AL,R,25,Anderson,083,35610,26832 FLANAGAN RD,ANDERSON,AL,35610,083,,1
60,AL,R,25,Annemanie,131,36721,,,,,,,1
60,AL,R,25,Anniston,015,36201,109 CENTRAL AVE,ANNISTON,AL,36201,015,,1
60,AL,R,25,Anniston,015,36203,2119 DEBORAH LN,ANNISTON,AL,36203,015,,1
60,AL,R,25,Anniston,015,36205,176 FOXLEY RD,ANNISTON,AL,36205,015,,1
60,AL,R,25,Anniston,015,36206,707 SANOTA DR,ANNISTON,AL,36206,015,,1
60,AL,R,25,Anniston,015,36207,3028 WOODBRIDGE DR,ANNISTON,AL,36207,015,,1
60,AL,R,25,Anniston,015,36210,,,,,,,1
60,AL,R,25,Arab,009,35016,,,,,,,1
60,AL,R,25,Arab,043,35016,194 COUNTY ROAD 1858,ARAB,AL,35016,043,,1
60,AL,R,25,Arab,095,35016,2090 MOBBS SCHOOL RD,ARAB,AL,35016,095,,1
60,AL,R,25,Ardmore,083,35739,27535 CEDAR HILL RD,ARDMORE,AL,35739,083,,1
60,AL,R,25,Ardmore,089,35739,319 COGGINS RD,ARDMORE,AL,35739,089,,1
60,AL,R,25,Ariton,005,36311,,,,,,,1
60,AL,R,25,Ariton,031,36311,1702 COUNTY ROAD 127,ARITON,AL,36311,031,,1
60,AL,R,25,Ariton,045,36311,10925 N HIGHWAY 123,ARITON,AL,36311,045,,1
60,AL,R,25,Arley,133,35540,238 BRANNON ST,ARLEY,AL,35540,133,,1
60,AL,R,25,Arley,133,35541,11371 COUNTY ROAD 12,ARLEY,AL,35541,133,,1
60,AL,R,25,Arlington,131,36722,,,,,,,1
60,AL,R,25,Ashford,069,36312,3256 GENE TERRY RD,ASHFORD,AL,36312,069,,1
60,AL,R,25,Ashland,027,36251,2228 BIG SPRINGS RD,ASHLAND,AL,36251,027,,1
60,AL,R,25,Ashville,115,35953,790 LAUNCH DR,ASHVILLE,AL,35953,115,,1
60,AL,R,25,Athens,083,35611,17534 HALL ST,ATHENS,AL,35611,083,,1
60,AL,R,25,Athens,083,35613,27985 COPELAND RD,ATHENS,AL,35613,083,,1
60,AL,R,25,Athens,083,35614,20055 WALLACE LN,ATHENS,AL,35614,083,,1
60,AL,R,25,Atmore,003,36502,61801 LOTTIE RD,ATMORE,AL,36502,003,,2
60,AL,R,25,Atmore,035,36502,,,,,,,1
60,AL,R,25,Atmore,053,36502,13017 HIGHWAY 31,ATMORE,AL,36502,053,,1
60,AL,R,25,Atmore,099,36502,,,,,,,1
60,AL,R,25,Attalla,049,35954,,,,,,,1
60,AL,R,25,Attalla,055,35954,2905 GALLANT RD,ATTALLA,AL,35954,055,,1
60,AL,R,25,Auburn,081,36830,323 TULLAHOMA DR,AUBURN,AL,36830,081,,1
60,AL,R,25,Auburn,081,36832,889 ZELLARS CT,AUBURN,AL,36832,081,,1
60,AL,R,25,Auburn,087,36830,221 ARMSTRONG STREET,AUBURN,AL,36830,087,,1
60,AL,R,25,Autaugaville,001,36003,2758 HIGHWAY 14 W,AUTAUGAVILLE,AL,36003,001,,1
60,AL,R,25,Axis,097,36505,1480 BELL DR,AXIS,AL,36505,097,,2
60,AL,R,25,Baileyton,043,35019,35 WOLF CREEK RD,BAILEYTON,AL,35019,043,,1
60,AL,R,25,Baileyton,103,35019,110 HOLCOMB RD,BAILEYTON,AL,35019,103,,1
60,AL,R,25,Bakerhill,005,36027,,,,,,,1
60,AL,R,25,Banks,011,36005,1998 SMUTEYE RD,BANKS,AL,36005,011,,1
60,AL,R,25,Banks,109,36005,2172 COUNTY ROAD 6639,BANKS,AL,36005,109,,1
60,AL,R,25,Bankston,057,35542,1820 COUNTY ROAD 67,BANKSTON,AL,35542,057,,1
60,AL,R,25,Bay Minette,003,36507,37221 STATE HIGHWAY 225,BAY MINETTE,AL,36507,003,,2
60,AL,R,25,Bayou la Batre,097,36509,8621 RAYFIELD ST,BAYOU LA BATRE,AL,36509,097,,2
60,AL,R,25,Bear Creek,093,35543,229 GEORGIA ST,BEAR CREEK,AL,35543,093,,1
60,AL,R,25,Beatrice,099,36425,159 WRIGHT RD,BEATRICE,AL,36425,099,,1
60,AL,R,25,Beaverton,075,35544,9552 HIGHWAY 278,BEAVERTON,AL,35544,075,,1
60,AL,R,25,Benton,047,36785,,,,,,,1
60,AL,R,25,Berry,057,35546,1170 COUNTY ROAD 126,BERRY,AL,35546,057,,1
60,AL,R,25,Berry,125,35546,20516 HIGHWAY 69 N,BERRY,AL,35546,125,,1
60,AL,R,25,Berry,127,35546,,,,,,,1
60,AL,R,25,Bessemer,073,35020,629 AVENUE I,BESSEMER,AL,35020,073,,1
60,AL,R,25,Bessemer,073,35022,5894 RIDGELINE DR,BESSEMER,AL,35022,073,,1
60,AL,R,25,Bessemer,073,35023,104 HIELARY CIR,BESSEMER,AL,35023,073,,1
60,AL,R,25,Bessemer,117,35022,81 FERRELL DR,BESSEMER,AL,35022,117,,1
60,AL,R,25,Big Cove,089,35763,7000 SOUTHCREEK DR SE,BIG COVE,AL,35763,089,,1
60,AL,R,25,Bigbee,129,36558,,,,,,,1
60,AL,R,25,Billingsley,001,36006,3338 COUNTY ROAD 98,BILLINGSLEY,AL,36006,001,,1
60,AL,R,25,Billingsley,021,36006,,,,,,,1
60,AL,R,25,Birmingham,073,35203,520 24TH PL N # 02-520,BIRMINGHAM,AL,35203,073,,1
60,AL,R,25,Birmingham,073,35204,124 10TH AVE W,BIRMINGHAM,AL,35204,073,,1
60,AL,R,25,Birmingham,073,35205,1800 PENTHOUSE DRIVE,BIRMINGHAM,AL,35205,073,,1
60,AL,R,25,Birmingham,073,35206,510 75TH ST N,BIRMINGHAM,AL,35206,073,,1
60,AL,R,25,Birmingham,073,35207,3415 31ST WAY N,BIRMINGHAM,AL,35207,073,,1
60,AL,R,25,Birmingham,073,35208,1418 4TH TER W,BIRMINGHAM,AL,35208,073,,1
60,AL,R,25,Birmingham,073,35209,909 BEACON PARKWAY EAST,BIRMINGHAM,AL,35209,073,,1
60,AL,R,25,Birmingham,073,35210,3625 HUNTERS HILL DR,BIRMINGHAM,AL,35210,073,,1
60,AL,R,25,Birmingham,073,35211,729 30TH ST SW,BIRMINGHAM,AL,35211,073,,1
60,AL,R,25,Birmingham,073,35212,124 57TH ST S,BIRMINGHAM,AL,35212,073,,1
60,AL,R,25,Birmingham,073,35213,907 SHARPSBURG CIRCLE,BIRMINGHAM,AL,35213,073,,1
60,AL,R,25,Birmingham,073,35214,517 ALDER AVE,BIRMINGHAM,AL,35214,073,,1
60,AL,R,25,Birmingham,073,35215,649 EARLINE CIR APT D,BIRMINGHAM,AL,35215,073,,1
